"","YYYY","MM","DD","ATMP"
"1",1997,"01","01","24"
"2",1997,"01","02","22.6"
"3",1997,"01","03","22.6"
"4",1997,"01","04","23.9"
"5",1997,"01","05","24.2"
"6",1997,"01","06","24.1"
"7",1997,"01","07","24.4"
"8",1997,"01","08","23.5"
"9",1997,"01","09","24.7"
"10",1997,"01","10","17.7"
"11",1997,"01","11","18.4"
"12",1997,"01","12","22.9"
"13",1997,"01","13","22.1"
"14",1997,"01","14","22.1"
"15",1997,"01","15","22.7"
"16",1997,"01","16","23.8"
"17",1997,"01","17","11.6"
"18",1997,"01","18","9.1"
"19",1997,"01","19","8.6"
"20",1997,"01","20","14.1"
"21",1997,"01","21","15.8"
"22",1997,"01","22","21.7"
"23",1997,"01","23","23"
"24",1997,"01","24","23.6"
"25",1997,"01","25","23.8"
"26",1997,"01","26","19.2"
"27",1997,"01","27","23.4"
"28",1997,"01","28","23.4"
"29",1997,"01","29","23.8"
"30",1997,"01","30","24.1"
"31",1997,"01","31","15.2"
"33",1997,"02","02","18.8"
"34",1997,"02","03","22.6"
"35",1997,"02","04","23.6"
"36",1997,"02","05","23.9"
"37",1997,"02","06","24"
"38",1997,"02","07","24"
"39",1997,"02","08","24.5"
"40",1997,"02","09","23"
"41",1997,"02","10","21.4"
"42",1997,"02","11","15.4"
"43",1997,"02","12","18.6"
"44",1997,"02","13","24.4"
"45",1997,"02","14","25"
"46",1997,"02","15","25.2"
"47",1997,"02","16","24.9"
"48",1997,"02","17","21.8"
"49",1997,"02","18","23.5"
"50",1997,"02","19","24.3"
"51",1997,"02","20","24.3"
"52",1997,"02","21","24.6"
"53",1997,"02","22","24.8"
"54",1997,"02","23","24.5"
"55",1997,"02","24","24.8"
"56",1997,"02","25","24"
"57",1997,"02","26","24"
"58",1997,"02","27","24.7"
"59",1997,"02","28","24.6"
"60",1997,"03","01","24.7"
"61",1997,"03","02","24.7"
"62",1997,"03","03","24.9"
"63",1997,"03","04","24.8"
"64",1997,"03","05","24.7"
"65",1997,"03","06","24.7"
"66",1997,"03","07","25"
"67",1997,"03","08","24.1"
"68",1997,"03","09","24.5"
"69",1997,"03","10","23.9"
"70",1997,"03","11","23.8"
"71",1997,"03","12","23.8"
"72",1997,"03","13","24.1"
"73",1997,"03","14","25.2"
"74",1997,"03","15","22.3"
"75",1997,"03","16","21.7"
"76",1997,"03","17","23.3"
"77",1997,"03","18","22.9"
"78",1997,"03","19","23.4"
"79",1997,"03","20","23.9"
"80",1997,"03","21","24"
"81",1997,"03","22","21.1"
"82",1997,"03","23","21.3"
"83",1997,"03","24","21.9"
"84",1997,"03","25","24.5"
"85",1997,"03","26","24.9"
"86",1997,"03","27","23.3"
"87",1997,"03","28","23.7"
"88",1997,"03","29","24.3"
"89",1997,"03","30","25.4"
"90",1997,"03","31","25.3"
"91",1997,"04","01","19.5"
"92",1997,"04","02","22.5"
"93",1997,"04","03","22.5"
"94",1997,"04","04","22.9"
"95",1997,"04","05","23.5"
"96",1997,"04","06","24.2"
"97",1997,"04","07","23.8"
"98",1997,"04","08","24"
"99",1997,"04","09","24.2"
"100",1997,"04","10","22.9"
"101",1997,"04","11","24.3"
"102",1997,"04","12","25.2"
"103",1997,"04","13","23.4"
"104",1997,"04","14","25.2"
"105",1997,"04","15","25.8"
"106",1997,"04","16","24.4"
"107",1997,"04","17","22.7"
"108",1997,"04","18","19.3"
"109",1997,"04","19","15.6"
"110",1997,"04","20","20.8"
"111",1997,"04","21","23.1"
"112",1997,"04","22","25.1"
"113",1997,"04","23","25.7"
"114",1997,"04","24","20.4"
"116",1997,"04","26","26.2"
"117",1997,"04","27","26.4"
"118",1997,"04","28","26.8"
"119",1997,"04","29","26.2"
"120",1997,"04","30","23.1"
"121",1997,"05","01","26.2"
"122",1997,"05","02","26.9"
"123",1997,"05","03","27.2"
"124",1997,"05","04","26.7"
"125",1997,"05","05","24.4"
"126",1997,"05","06","24.1"
"127",1997,"05","07","24.9"
"128",1997,"05","08","24.5"
"129",1997,"05","09","25.4"
"130",1997,"05","10","25.1"
"131",1997,"05","11","25.9"
"132",1997,"05","12","25.9"
"133",1997,"05","13","26.3"
"134",1997,"05","14","23.7"
"135",1997,"05","15","25.2"
"136",1997,"05","16","25.6"
"137",1997,"05","17","26.6"
"138",1997,"05","18","26.9"
"139",1997,"05","19","27"
"141",1997,"05","21","27"
"142",1997,"05","22","27.3"
"143",1997,"05","23","27.8"
"144",1997,"05","24","26.7"
"145",1997,"05","25","26.3"
"146",1997,"05","26","26.7"
"147",1997,"05","27","27.6"
"148",1997,"05","28","26.4"
"149",1997,"05","29","23.4"
"150",1997,"05","30","26"
"151",1997,"05","31","26.7"
"152",1997,"06","01","27.2"
"153",1997,"06","02","27.1"
"154",1997,"06","03","26.9"
"155",1997,"06","04","26.7"
"156",1997,"06","05","26.5"
"157",1997,"06","06","26.3"
"158",1997,"06","07","27.1"
"159",1997,"06","08","26.2"
"160",1997,"06","09","27.1"
"161",1997,"06","10","26.5"
"162",1997,"06","11","27.5"
"163",1997,"06","12","27.4"
"164",1997,"06","13","27.9"
"165",1997,"06","14","27.8"
"166",1997,"06","15","27"
"167",1997,"06","16","28"
"168",1997,"06","17","28.5"
"169",1997,"06","18","28.6"
"170",1997,"06","19","28.5"
"171",1997,"06","20","28.1"
"172",1997,"06","21","28.6"
"173",1997,"06","22","27.9"
"174",1997,"06","23","27.7"
"175",1997,"06","24","28.2"
"176",1997,"06","25","28.2"
"177",1997,"06","26","28.2"
"178",1997,"06","27","28.2"
"179",1997,"06","28","28.2"
"180",1997,"06","29","28.1"
"181",1997,"06","30","28.6"
"182",1997,"07","01","28.1"
"183",1997,"07","02","28"
"184",1997,"07","03","25.6"
"185",1997,"07","04","28.4"
"186",1997,"07","05","28.7"
"187",1997,"07","06","29"
"188",1997,"07","07","29"
"189",1997,"07","08","29"
"191",1997,"07","10","28.8"
"192",1997,"07","11","27.4"
"193",1997,"07","12","28.7"
"194",1997,"07","13","26.5"
"195",1997,"07","14","28.2"
"196",1997,"07","15","28.9"
"197",1997,"07","16","28.9"
"198",1997,"07","17","29"
"199",1997,"07","18","27.6"
"200",1997,"07","19","28.5"
"201",1997,"07","20","28.7"
"202",1997,"07","21","29"
"204",1997,"07","23","29.2"
"205",1997,"07","24","28.8"
"206",1997,"07","25","28.9"
"207",1997,"07","26","28.7"
"208",1997,"07","27","28.5"
"209",1997,"07","28","29"
"210",1997,"07","29","28.6"
"211",1997,"07","30","28.9"
"212",1997,"07","31","29.1"
"213",1997,"08","01","29.3"
"214",1997,"08","02","28.5"
"215",1997,"08","03","29.2"
"216",1997,"08","04","29.2"
"217",1997,"08","05","29.3"
"218",1997,"08","06","29.3"
"219",1997,"08","07","29.3"
"220",1997,"08","08","29.6"
"221",1997,"08","09","29.8"
"222",1997,"08","10","29.2"
"224",1997,"08","12","27.2"
"225",1997,"08","13","29.4"
"226",1997,"08","14","28.5"
"227",1997,"08","15","29"
"228",1997,"08","16","29.6"
"229",1997,"08","17","29.7"
"230",1997,"08","18","29.3"
"231",1997,"08","19","29.3"
"232",1997,"08","20","29.3"
"233",1997,"08","21","29.3"
"234",1997,"08","22","29.3"
"235",1997,"08","23","29.3"
"236",1997,"08","24","29.6"
"237",1997,"08","25","28.3"
"238",1997,"08","26","25.8"
"239",1997,"08","27","28.8"
"240",1997,"08","28","28.8"
"241",1997,"08","29","27.9"
"242",1997,"08","30","28.2"
"243",1997,"08","31","28.3"
"244",1997,"09","01","28.7"
"245",1997,"09","02","28.1"
"246",1997,"09","03","28.9"
"247",1997,"09","04","29.1"
"248",1997,"09","05","27.5"
"249",1997,"09","06","27.5"
"250",1997,"09","07","28.2"
"251",1997,"09","08","25.8"
"252",1997,"09","09","28.1"
"253",1997,"09","10","28"
"254",1997,"09","11","28.5"
"255",1997,"09","12","28.8"
"256",1997,"09","13","28.1"
"257",1997,"09","14","26.6"
"258",1997,"09","15","25.9"
"259",1997,"09","16","26.5"
"260",1997,"09","17","27.6"
"261",1997,"09","18","26.7"
"263",1997,"09","20","26.1"
"264",1997,"09","21","27.5"
"265",1997,"09","22","27.8"
"266",1997,"09","23","25.9"
"267",1997,"09","24","27.4"
"268",1997,"09","25","28.1"
"269",1997,"09","26","28.8"
"270",1997,"09","27","28.8"
"271",1997,"09","28","27.2"
"272",1997,"09","29","27.5"
"273",1997,"09","30","27.9"
"274",1997,"10","01","27.5"
"275",1997,"10","02","26.2"
"276",1997,"10","03","26.4"
"277",1997,"10","04","27.6"
"278",1997,"10","05","27.8"
"279",1997,"10","06","27.7"
"280",1997,"10","07","27.3"
"281",1997,"10","08","27.3"
"282",1997,"10","09","27.3"
"283",1997,"10","10","27.3"
"284",1997,"10","11","26.7"
"285",1997,"10","12","26.8"
"286",1997,"10","13","26.9"
"287",1997,"10","14","26.9"
"288",1997,"10","15","26.7"
"289",1997,"10","16","25.8"
"290",1997,"10","17","26.7"
"291",1997,"10","18","26.8"
"292",1997,"10","19","23"
"293",1997,"10","20","19.4"
"294",1997,"10","21","22.7"
"295",1997,"10","22","25.3"
"296",1997,"10","23","22.9"
"297",1997,"10","24","25.3"
"298",1997,"10","25","26.9"
"299",1997,"10","26","27.1"
"300",1997,"10","27","27.4"
"301",1997,"10","28","22.7"
"302",1997,"10","29","23.5"
"303",1997,"10","30","26.6"
"304",1997,"10","31","26.9"
"306",1997,"11","02","27.1"
"307",1997,"11","03","19.8"
"308",1997,"11","04","22.3"
"309",1997,"11","05","20.9"
"310",1997,"11","06","22.3"
"311",1997,"11","07","22.2"
"312",1997,"11","08","17.8"
"313",1997,"11","09","18.5"
"314",1997,"11","10","21.1"
"315",1997,"11","11","21.1"
"316",1997,"11","12","24.7"
"317",1997,"11","13","26.5"
"318",1997,"11","14","26.6"
"319",1997,"11","15","23.5"
"320",1997,"11","16","25.4"
"321",1997,"11","17","20"
"322",1997,"11","18","23.7"
"323",1997,"11","19","24.8"
"324",1997,"11","20","24.9"
"325",1997,"11","21","25.5"
"326",1997,"11","22","26.4"
"327",1997,"11","23","26.2"
"328",1997,"11","24","23"
"329",1997,"11","25","24"
"330",1997,"11","26","24"
"331",1997,"11","27","23.6"
"332",1997,"11","28","24.3"
"333",1997,"11","29","25.8"
"334",1997,"11","30","26.1"
"335",1997,"12","01","21.4"
"336",1997,"12","02","20.1"
"337",1997,"12","03","23.8"
"338",1997,"12","04","25.7"
"339",1997,"12","05","21.9"
"340",1997,"12","06","16"
"341",1997,"12","07","13.5"
"342",1997,"12","08","16.7"
"343",1997,"12","09","22.3"
"344",1997,"12","10","25.4"
"345",1997,"12","11","25.4"
"346",1997,"12","12","25.7"
"347",1997,"12","13","25.7"
"348",1997,"12","14","25.8"
"349",1997,"12","15","18.6"
"350",1997,"12","16","14.4"
"351",1997,"12","17","15.1"
"352",1997,"12","18","16.1"
"353",1997,"12","19","16.3"
"354",1997,"12","20","22.6"
"355",1997,"12","21","23.7"
"356",1997,"12","22","24.6"
"357",1997,"12","23","24.8"
"358",1997,"12","24","25.3"
"359",1997,"12","25","24.9"
"360",1997,"12","26","24.9"
"361",1997,"12","27","25"
"362",1997,"12","28","15.5"
"363",1997,"12","29","19.9"
"364",1997,"12","30","18.6"
"365",1997,"12","31","18.2"
"366",1998,"01","01","12.5"
"367",1998,"01","02","21.4"
"368",1998,"01","03","23.1"
"369",1998,"01","04","24"
"370",1998,"01","05","24.2"
"371",1998,"01","06","25"
"372",1998,"01","07","24.8"
"373",1998,"01","08","25.1"
"374",1998,"01","09","23.5"
"375",1998,"01","10","20.1"
"376",1998,"01","11","19.6"
"377",1998,"01","12","22.5"
"378",1998,"01","13","23.7"
"379",1998,"01","14","23.7"
"380",1998,"01","15","24.1"
"381",1998,"01","16","23.1"
"382",1998,"01","17","17.2"
"383",1998,"01","18","17.3"
"384",1998,"01","19","21.8"
"385",1998,"01","20","21.6"
"386",1998,"01","21","21.6"
"387",1998,"01","22","23.4"
"388",1998,"01","23","24.4"
"389",1998,"01","24","23"
"390",1998,"01","25","16"
"391",1998,"01","26","23.2"
"392",1998,"01","27","22"
"393",1998,"01","28","17.2"
"394",1998,"01","29","13.4"
"395",1998,"01","30","15.3"
"397",1998,"02","01","21"
"398",1998,"02","02","23"
"399",1998,"02","03","22.1"
"400",1998,"02","04","20.1"
"401",1998,"02","05","17.2"
"402",1998,"02","06","18.8"
"403",1998,"02","07","15.4"
"404",1998,"02","08","13"
"405",1998,"02","09","12.8"
"406",1998,"02","10","14.6"
"407",1998,"02","11","21.7"
"408",1998,"02","12","23"
"409",1998,"02","13","21.1"
"410",1998,"02","14","19.3"
"411",1998,"02","15","22.5"
"412",1998,"02","16","24.3"
"413",1998,"02","17","25"
"414",1998,"02","18","20.2"
"415",1998,"02","19","25.1"
"416",1998,"02","20","24.6"
"417",1998,"02","21","22.2"
"418",1998,"02","22","24.7"
"419",1998,"02","23","24.9"
"420",1998,"02","24","16"
"421",1998,"02","25","16.5"
"422",1998,"02","26","22.3"
"423",1998,"02","27","23.5"
"424",1998,"02","28","24"
"425",1998,"03","01","24.4"
"426",1998,"03","02","19.1"
"427",1998,"03","03","15.6"
"428",1998,"03","04","17.6"
"429",1998,"03","05","20.2"
"430",1998,"03","06","22.5"
"431",1998,"03","07","22.9"
"432",1998,"03","08","25"
"433",1998,"03","09","26"
"434",1998,"03","10","17.4"
"435",1998,"03","11","11"
"436",1998,"03","12","12.4"
"437",1998,"03","13","12.5"
"438",1998,"03","14","15.8"
"439",1998,"03","15","21.8"
"440",1998,"03","16","21.6"
"441",1998,"03","17","22.4"
"442",1998,"03","18","23.5"
"443",1998,"03","19","24.7"
"444",1998,"03","20","22.8"
"445",1998,"03","21","20.8"
"446",1998,"03","22","17.7"
"447",1998,"03","23","14.6"
"448",1998,"03","24","18"
"449",1998,"03","25","22.2"
"450",1998,"03","26","22.4"
"451",1998,"03","27","23"
