"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1997,25.049299719888,22.5032748538012,23.138179800222,24.1691721132898,25.3665555555556,26.602277904328,27.0756284153005,27.3077173913043,26.8859201773836,25.8070077864294,24.0133918770582,23.1629153269025
"2",1998,25.2153203342618,22.6639018691589,23.3272123893805,24.2463043478261,25.4388704318937,26.633371169126,27.1130054644809,27.3561479869423,26.9313399778516,25.8290465631929,24.0356359649123,23.1544871794872
"3",1999,24.6935754189944,22.4491822429907,23.0868508287293,24.0087145969499,25.2413333333333,26.4650739476678,26.9424507658643,27.1689467969598,26.729092920354,25.6583333333333,23.8862788144896,23.0224839400428
"4",2000,24.1243421052632,22.0785,22.7159198113208,23.8076124567474,25.0872291904219,26.4005868544601,26.876976744186,27.1431870669746,26.6444575471698,25.5583924349882,23.6413068844807,22.7514772727273
"5",2001,24.7409638554217,22.3382978723404,23.0039237668161,24.0245515695067,25.3056064073227,26.5257913247362,27.0252252252252,27.2657718120805,26.8178082191781,25.7080091533181,23.8797740112994,22.9395374449339
"6",2002,24.971349862259,22.5703488372093,23.1370452039691,24.1015167930661,25.3334806629834,26.5710734463277,27.0406964091404,27.2724324324324,26.8208379272326,25.7341436464088,24.0076335877863,23.1396166134185
"7",2003,24.7388429752066,22.4416279069767,23.0095814977974,24.053196099675,25.2145856353591,26.4595022624434,26.9438520130577,27.1876756756757,26.7349503858875,25.6565745856354,23.8550218340611,23.1043617021277
"8",2004,24.5939890710383,22.4098607888631,23.0324175824176,24.0309935205184,25.2071585903084,26.3832018038331,26.8744034707158,27.1077586206897,26.6810989010989,25.6068281938326,23.8200217627856,23.0173036093418
"9",2005,24.4872463768116,22.3404988123515,22.992125984252,23.9929281767956,25.1791431792559,26.4001154734411,26.8732519422863,27.106835722161,26.6741282339708,25.5851851851852,23.7782894736842,22.9290357529794
"10",2006,24.9494011976048,22.5027315914489,23.1047991071429,24.101677852349,25.3737442922374,26.606081871345,27.103367003367,27.3345982142857,26.8677676537585,25.7732876712329,23.9886133032694,22.9987912087912
"11",2007,25.0434065934066,22.6029036004646,23.2057268722467,24.2025974025974,25.3962472406181,26.6061016949153,27.0386956521739,27.286717062635,26.8638766519824,25.7416114790287,24.0320610687023,23.1075451647184
"12",2008,24.6386740331492,22.3451048951049,23.0279249448124,24.0255965292842,25.2092920353982,26.4211778029445,26.912091503268,27.1525862068966,26.7158940397351,25.6568584070796,23.9370491803279,22.9860341151386
"13",2009,24.3715568862275,22.2957882069795,22.9240318906606,23.8976510067114,25.1318493150685,26.3810526315789,26.8685393258427,27.1175223214286,26.6564131668558,25.5753318584071,23.7312288613303,22.8294505494505
"14",2010,23.2187327823691,21.9531395348837,22.6138919514884,23.4743228602384,24.6257458563536,25.8010180995475,26.3450597176982,26.5730810810811,26.1232635060639,25.0889502762431,23.3199781659389,22.65303514377
"15",2011,24.9947945205479,22.5655452436195,23.1917491749175,24.0968648648649,25.3396912899669,26.5729119638826,27.0270358306189,27.2559870550162,26.8170517051705,25.7871003307608,23.9981481481481,23.1165781083953
"16",2012,24.6679452054795,22.4047619047619,23.0194719471947,24.0327567567568,25.2211453744493,26.4453724604966,26.9259500542888,27.1511326860841,26.7141914191419,25.6437706725469,23.9497821350763,22.9814027630181
"17",2013,24.9430939226519,22.5353899883586,23.2869757174393,24.1028169014084,25.353642384106,26.5565118912797,27.0476034858388,27.2812770562771,26.8167770419426,25.7253318584071,23.9463387978142,23.036460554371
"18",2014,24.8306849315068,22.4415313225058,23.1273927392739,24.0751351351351,25.2898566703418,26.5124153498871,26.9608034744843,27.195145631068,26.7737073707371,25.7098125689085,23.9849673202614,23.0768331562168
"19",2015,25.6077134986226,22.8883720930233,23.393605292172,24.3247020585049,25.5963535911602,26.82092760181,27.2729053318825,27.5137297297297,27.0640573318633,25.9953591160221,24.1557860262009,23.265568544102
"20",2016,23.8022421524664,21.7765432098765,22.4890038809832,23.63583227446,25.076,26.5298429319372,27.1131350681537,27.3861386138614,26.8554002541296,25.590243902439,23.4760617760618,22.4012422360248
